Trend,TimeOfYear,Year,Month,DayOfMonth,HourOfDay,DayType,Load
0.0001141553,0.0001141553,2003,1,1,1,4,52253.5
0.0002283105,0.0002283105,2003,1,1,2,4,51704.5
0.0003424658,0.0003424658,2003,1,1,3,4,50275.5
0.000456621,0.000456621,2003,1,1,4,4,46934.5
0.0005707763,0.0005707763,2003,1,1,5,4,44609
0.0006849315,0.0006849315,2003,1,1,6,4,43588.5
0.0007990868,0.0007990868,2003,1,1,7,4,42918.5
0.000913242,0.000913242,2003,1,1,8,4,42855.5
0.001027397,0.001027397,2003,1,1,9,4,42498
0.001141553,0.001141553,2003,1,1,10,4,43360
0.001255708,0.001255708,2003,1,1,11,4,45177.5
0.001369863,0.001369863,2003,1,1,12,4,47084.5
0.001484018,0.001484018,2003,1,1,13,4,49563.5
0.001598174,0.001598174,2003,1,1,14,4,48652.5
0.001712329,0.001712329,2003,1,1,15,4,46402
0.001826484,0.001826484,2003,1,1,16,4,45143
0.001940639,0.001940639,2003,1,1,17,4,45385
0.002054795,0.002054795,2003,1,1,18,4,49129
0.00216895,0.00216895,2003,1,1,19,4,51675.5
0.002283105,0.002283105,2003,1,1,20,4,52360
0.00239726,0.00239726,2003,1,1,21,4,51490
0.002511416,0.002511416,2003,1,1,22,4,49143
0.002625571,0.002625571,2003,1,1,23,4,50102.5
0.002739726,0.002739726,2003,1,1,24,4,49129.5
0.002853881,0.002853881,2003,1,2,1,5,46315.5
0.002968037,0.002968037,2003,1,2,2,5,45571
0.003082192,0.003082192,2003,1,2,3,5,44367
0.003196347,0.003196347,2003,1,2,4,5,42087
0.003310502,0.003310502,2003,1,2,5,5,41519.5
0.003424658,0.003424658,2003,1,2,6,5,43273.5
0.003538813,0.003538813,2003,1,2,7,5,46809.5
0.003652968,0.003652968,2003,1,2,8,5,51209
0.003767123,0.003767123,2003,1,2,9,5,54296
0.003881279,0.003881279,2003,1,2,10,5,55995.5
0.003995434,0.003995434,2003,1,2,11,5,57049.5
0.004109589,0.004109589,2003,1,2,12,5,57970
0.004223744,0.004223744,2003,1,2,13,5,58872.5
0.0043379,0.0043379,2003,1,2,14,5,58353
0.004452055,0.004452055,2003,1,2,15,5,57102
0.00456621,0.00456621,2003,1,2,16,5,55508.5
0.004680365,0.004680365,2003,1,2,17,5,55281
0.004794521,0.004794521,2003,1,2,18,5,59565.5
0.004908676,0.004908676,2003,1,2,19,5,62260
0.005022831,0.005022831,2003,1,2,20,5,60968
0.005136986,0.005136986,2003,1,2,21,5,58198
0.005251142,0.005251142,2003,1,2,22,5,54709.5
0.005365297,0.005365297,2003,1,2,23,5,55400.5
0.005479452,0.005479452,2003,1,2,24,5,54267
0.005593607,0.005593607,2003,1,3,1,6,51352
0.005707763,0.005707763,2003,1,3,2,6,50427.5
0.005821918,0.005821918,2003,1,3,3,6,49284
0.005936073,0.005936073,2003,1,3,4,6,46807.5
0.006050228,0.006050228,2003,1,3,5,6,45976
0.006164384,0.006164384,2003,1,3,6,6,47462
0.006278539,0.006278539,2003,1,3,7,6,50573
0.006392694,0.006392694,2003,1,3,8,6,55135.5
0.006506849,0.006506849,2003,1,3,9,6,57889
0.006621005,0.006621005,2003,1,3,10,6,59400.5
0.00673516,0.00673516,2003,1,3,11,6,60220
0.006849315,0.006849315,2003,1,3,12,6,61044.5
0.00696347,0.00696347,2003,1,3,13,6,61415.5
0.007077626,0.007077626,2003,1,3,14,6,60641
0.007191781,0.007191781,2003,1,3,15,6,58939.5
0.007305936,0.007305936,2003,1,3,16,6,57129.5
0.007420091,0.007420091,2003,1,3,17,6,57004.5
0.007534247,0.007534247,2003,1,3,18,6,61009.5
0.007648402,0.007648402,2003,1,3,19,6,63255
0.007762557,0.007762557,2003,1,3,20,6,61952.5
0.007876712,0.007876712,2003,1,3,21,6,59432.5
0.007990868,0.007990868,2003,1,3,22,6,56255.5
0.008105023,0.008105023,2003,1,3,23,6,57190.5
0.008219178,0.008219178,2003,1,3,24,6,56163
0.008333333,0.008333333,2003,1,4,1,7,53173
0.008447489,0.008447489,2003,1,4,2,7,52178
0.008561644,0.008561644,2003,1,4,3,7,50584.5
0.008675799,0.008675799,2003,1,4,4,7,47876.5
0.008789954,0.008789954,2003,1,4,5,7,46553.5
0.00890411,0.00890411,2003,1,4,6,7,46927.5
0.009018265,0.009018265,2003,1,4,7,7,48208
0.00913242,0.00913242,2003,1,4,8,7,50669
0.009246575,0.009246575,2003,1,4,9,7,53132.5
0.009360731,0.009360731,2003,1,4,10,7,55645
0.009474886,0.009474886,2003,1,4,11,7,57483.5
0.009589041,0.009589041,2003,1,4,12,7,58680.5
0.009703196,0.009703196,2003,1,4,13,7,60685.5
0.009817352,0.009817352,2003,1,4,14,7,59965.5
0.009931507,0.009931507,2003,1,4,15,7,58396.5
0.01004566,0.01004566,2003,1,4,16,7,56745.5
0.01015982,0.01015982,2003,1,4,17,7,56645
0.01027397,0.01027397,2003,1,4,18,7,61131
0.01038813,0.01038813,2003,1,4,19,7,64767
0.01050228,0.01050228,2003,1,4,20,7,64046
0.01061644,0.01061644,2003,1,4,21,7,62170
0.01073059,0.01073059,2003,1,4,22,7,59583.5
0.01084475,0.01084475,2003,1,4,23,7,61353.5
0.0109589,0.0109589,2003,1,4,24,7,61001
0.01107306,0.01107306,2003,1,5,1,1,58415
0.01118721,0.01118721,2003,1,5,2,1,57499.5
0.01130137,0.01130137,2003,1,5,3,1,56407.5
0.01141553,0.01141553,2003,1,5,4,1,53737.5
0.01152968,0.01152968,2003,1,5,5,1,52213.5
0.01164384,0.01164384,2003,1,5,6,1,52150.5
0.01175799,0.01175799,2003,1,5,7,1,52272
0.01187215,0.01187215,2003,1,5,8,1,53522.5
0.0119863,0.0119863,2003,1,5,9,1,54894.5
0.01210046,0.01210046,2003,1,5,10,1,57707
0.01221461,0.01221461,2003,1,5,11,1,59766
0.01232877,0.01232877,2003,1,5,12,1,60786
0.01244292,0.01244292,2003,1,5,13,1,62172
0.01255708,0.01255708,2003,1,5,14,1,60293
0.01267123,0.01267123,2003,1,5,15,1,57623.5
0.01278539,0.01278539,2003,1,5,16,1,55911
0.01289954,0.01289954,2003,1,5,17,1,56072.5
0.0130137,0.0130137,2003,1,5,18,1,61899
0.01312785,0.01312785,2003,1,5,19,1,66986
0.01324201,0.01324201,2003,1,5,20,1,67950.5
0.01335616,0.01335616,2003,1,5,21,1,67142.5
0.01347032,0.01347032,2003,1,5,22,1,64381
0.01358447,0.01358447,2003,1,5,23,1,64975
0.01369863,0.01369863,2003,1,5,24,1,64148
0.01381279,0.01381279,2003,1,6,1,2,61941
0.01392694,0.01392694,2003,1,6,2,2,61723.5
0.0140411,0.0140411,2003,1,6,3,2,61167
0.01415525,0.01415525,2003,1,6,4,2,58986
0.01426941,0.01426941,2003,1,6,5,2,58500.5
0.01438356,0.01438356,2003,1,6,6,2,61175.5
0.01449772,0.01449772,2003,1,6,7,2,65937
0.01461187,0.01461187,2003,1,6,8,2,70910.5
0.01472603,0.01472603,2003,1,6,9,2,72638.5
0.01484018,0.01484018,2003,1,6,10,2,73073.5
0.01495434,0.01495434,2003,1,6,11,2,73323
0.01506849,0.01506849,2003,1,6,12,2,73916
0.01518265,0.01518265,2003,1,6,13,2,73892
0.0152968,0.0152968,2003,1,6,14,2,73822.5
0.01541096,0.01541096,2003,1,6,15,2,72361
0.01552511,0.01552511,2003,1,6,16,2,70727
0.01563927,0.01563927,2003,1,6,17,2,70691.5
0.01575342,0.01575342,2003,1,6,18,2,74610
0.01586758,0.01586758,2003,1,6,19,2,77829.5
0.01598174,0.01598174,2003,1,6,20,2,76230.5
0.01609589,0.01609589,2003,1,6,21,2,73204
0.01621005,0.01621005,2003,1,6,22,2,68832
0.0163242,0.0163242,2003,1,6,23,2,69514.5
0.01643836,0.01643836,2003,1,6,24,2,68387.5
0.01655251,0.01655251,2003,1,7,1,3,66069.5
0.01666667,0.01666667,2003,1,7,2,3,68685
0.01678082,0.01678082,2003,1,7,3,3,67789.5
0.01689498,0.01689498,2003,1,7,4,3,65308
0.01700913,0.01700913,2003,1,7,5,3,64620
0.01712329,0.01712329,2003,1,7,6,3,66763.5
0.01723744,0.01723744,2003,1,7,7,3,71208.5
0.0173516,0.0173516,2003,1,7,8,3,75845
0.01746575,0.01746575,2003,1,7,9,3,77300.5
0.01757991,0.01757991,2003,1,7,10,3,77296.5
0.01769406,0.01769406,2003,1,7,11,3,77124.5
0.01780822,0.01780822,2003,1,7,12,3,77207
0.01792237,0.01792237,2003,1,7,13,3,76629.5
0.01803653,0.01803653,2003,1,7,14,3,76886.5
0.01815068,0.01815068,2003,1,7,15,3,75531
0.01826484,0.01826484,2003,1,7,16,3,74419.5
0.018379,0.018379,2003,1,7,17,3,74656
0.01849315,0.01849315,2003,1,7,18,3,78594.5
0.01860731,0.01860731,2003,1,7,19,3,81622.5
0.01872146,0.01872146,2003,1,7,20,3,79954.5
0.01883562,0.01883562,2003,1,7,21,3,77067
0.01894977,0.01894977,2003,1,7,22,3,72617
0.01906393,0.01906393,2003,1,7,23,3,73167.5
0.01917808,0.01917808,2003,1,7,24,3,71705
0.01929224,0.01929224,2003,1,8,1,4,69297
0.01940639,0.01940639,2003,1,8,2,4,71843.5
0.01952055,0.01952055,2003,1,8,3,4,70873.5
0.0196347,0.0196347,2003,1,8,4,4,68383.5
0.01974886,0.01974886,2003,1,8,5,4,67319
0.01986301,0.01986301,2003,1,8,6,4,69122.5
0.01997717,0.01997717,2003,1,8,7,4,72974.5
0.02009132,0.02009132,2003,1,8,8,4,76699
0.02020548,0.02020548,2003,1,8,9,4,79035
0.02031963,0.02031963,2003,1,8,10,4,79523
0.02043379,0.02043379,2003,1,8,11,4,79588
0.02054795,0.02054795,2003,1,8,12,4,79997
0.0206621,0.0206621,2003,1,8,13,4,79645
0.02077626,0.02077626,2003,1,8,14,4,79430.5
0.02089041,0.02089041,2003,1,8,15,4,78327
0.02100457,0.02100457,2003,1,8,16,4,76729
0.02111872,0.02111872,2003,1,8,17,4,76589
0.02123288,0.02123288,2003,1,8,18,4,79874
0.02134703,0.02134703,2003,1,8,19,4,82959
0.02146119,0.02146119,2003,1,8,20,4,81415.5
0.02157534,0.02157534,2003,1,8,21,4,78348.5
0.0216895,0.0216895,2003,1,8,22,4,74162
0.02180365,0.02180365,2003,1,8,23,4,74504
0.02191781,0.02191781,2003,1,8,24,4,72874.5
0.02203196,0.02203196,2003,1,9,1,5,70509.5
0.02214612,0.02214612,2003,1,9,2,5,73351
0.02226027,0.02226027,2003,1,9,3,5,72482
0.02237443,0.02237443,2003,1,9,4,5,69777.5
0.02248858,0.02248858,2003,1,9,5,5,68699.5
0.02260274,0.02260274,2003,1,9,6,5,70510
0.02271689,0.02271689,2003,1,9,7,5,74731
0.02283105,0.02283105,2003,1,9,8,5,79137
0.02294521,0.02294521,2003,1,9,9,5,80531.5
0.02305936,0.02305936,2003,1,9,10,5,80401.5
0.02317352,0.02317352,2003,1,9,11,5,79971
0.02328767,0.02328767,2003,1,9,12,5,79975
0.02340183,0.02340183,2003,1,9,13,5,79104
0.02351598,0.02351598,2003,1,9,14,5,78847
0.02363014,0.02363014,2003,1,9,15,5,77409.5
0.02374429,0.02374429,2003,1,9,16,5,75866.5
0.02385845,0.02385845,2003,1,9,17,5,75883
0.0239726,0.0239726,2003,1,9,18,5,79715.5
0.02408676,0.02408676,2003,1,9,19,5,83062.5
0.02420091,0.02420091,2003,1,9,20,5,81388.5
0.02431507,0.02431507,2003,1,9,21,5,78390
0.02442922,0.02442922,2003,1,9,22,5,74172.5
0.02454338,0.02454338,2003,1,9,23,5,74639
0.02465753,0.02465753,2003,1,9,24,5,73191.5
0.02477169,0.02477169,2003,1,10,1,6,70769
0.02488584,0.02488584,2003,1,10,2,6,73786
0.025,0.025,2003,1,10,3,6,72932.5
0.02511416,0.02511416,2003,1,10,4,6,70411
0.02522831,0.02522831,2003,1,10,5,6,69290
0.02534247,0.02534247,2003,1,10,6,6,71093.5
0.02545662,0.02545662,2003,1,10,7,6,75074.5
0.02557078,0.02557078,2003,1,10,8,6,79221.5
0.02568493,0.02568493,2003,1,10,9,6,80581.5
0.02579909,0.02579909,2003,1,10,10,6,80681
0.02591324,0.02591324,2003,1,10,11,6,80270
0.0260274,0.0260274,2003,1,10,12,6,80412
0.02614155,0.02614155,2003,1,10,13,6,79520
0.02625571,0.02625571,2003,1,10,14,6,78879
0.02636986,0.02636986,2003,1,10,15,6,77247
0.02648402,0.02648402,2003,1,10,16,6,75379
0.02659817,0.02659817,2003,1,10,17,6,75039.5
0.02671233,0.02671233,2003,1,10,18,6,78323.5
0.02682648,0.02682648,2003,1,10,19,6,81191
0.02694064,0.02694064,2003,1,10,20,6,79267.5
0.02705479,0.02705479,2003,1,10,21,6,76321
0.02716895,0.02716895,2003,1,10,22,6,72867.5
0.02728311,0.02728311,2003,1,10,23,6,73970.5
0.02739726,0.02739726,2003,1,10,24,6,72840.5
0.02751142,0.02751142,2003,1,11,1,7,70042.5
0.02762557,0.02762557,2003,1,11,2,7,72423.5
0.02773973,0.02773973,2003,1,11,3,7,71207
0.02785388,0.02785388,2003,1,11,4,7,68137.5
0.02796804,0.02796804,2003,1,11,5,7,66290.5
0.02808219,0.02808219,2003,1,11,6,7,66215
0.02819635,0.02819635,2003,1,11,7,7,67122.5
