Year,Month,DayOfMonth,HourOfDay,TemperatureC,Humidity
2003,1,1,1,8,93
2003,1,1,2,8,93
2003,1,1,3,8,93
2003,1,1,4,8,93
2003,1,1,5,8,93
2003,1,1,6,8,93
2003,1,1,7,7,100
2003,1,1,8,6,100
2003,1,1,9,6,100
2003,1,1,10,7,93
2003,1,1,11,6,100
2003,1,1,12,8,100
2003,1,1,13,10,87
2003,1,1,14,11,76
2003,1,1,15,11,76
2003,1,1,16,11,71
2003,1,1,17,11,71
2003,1,1,18,11,67
2003,1,1,19,11,62
2003,1,1,20,11,67
2003,1,1,21,11,67
2003,1,1,22,11,62
2003,1,1,23,11,67
2003,1,1,24,11,67
2003,1,2,1,11,76
2003,1,2,2,10,87
2003,1,2,3,10,87
2003,1,2,4,10,94
2003,1,2,5,11,88
2003,1,2,6,11,88
2003,1,2,7,12,82
2003,1,2,8,12,82
2003,1,2,9,12,82
2003,1,2,10,13,77
2003,1,2,11,13,77
2003,1,2,12,13,77
2003,1,2,13,15,67
2003,1,2,14,15,67
2003,1,2,15,15,63
2003,1,2,16,15,63
2003,1,2,17,15,63
2003,1,2,18,16,48
2003,1,2,19,15,51
2003,1,2,20,14,55
2003,1,2,21,13,58
2003,1,2,22,12,54
2003,1,2,23,11,58
2003,1,2,24,9,66
2003,1,3,1,9,66
2003,1,3,2,9,66
2003,1,3,3,8,71
2003,1,3,4,7,76
2003,1,3,5,7,76
2003,1,3,6,7,76
2003,1,3,7,6,81
2003,1,3,8,5,81
2003,1,3,9,7,76
2003,1,3,10,7,76
2003,1,3,11,8,71
2003,1,3,12,10,71
2003,1,3,13,11,62
2003,1,3,14,11,62
2003,1,3,15,12,58
2003,1,3,16,12,67
2003,1,3,17,12,67
2003,1,3,18,12,62
2003,1,3,19,9,87
2003,1,3,20,10,71
2003,1,3,21,11,62
2003,1,3,22,12,58
2003,1,3,23,12,54
2003,1,3,24,11,62
2003,1,4,1,12,54
2003,1,4,2,11,58
2003,1,4,3,11,62
2003,1,4,4,11,62
2003,1,4,5,11,62
2003,1,4,6,10,66
2003,1,4,7,10,66
2003,1,4,8,10,66
2003,1,4,9,11,58
2003,1,4,10,10,62
2003,1,4,11,10,62
2003,1,4,12,10,62
2003,1,4,13,9,76
2003,1,4,14,9,76
2003,1,4,15,10,71
2003,1,4,16,5,87
2003,1,4,17,6,70
2003,1,4,18,4,75
2003,1,4,19,4,70
2003,1,4,20,4,70
2003,1,4,21,4,70
2003,1,4,22,3,75
2003,1,4,23,3,75
2003,1,4,24,1,75
2003,1,5,1,1,75
2003,1,5,2,0,75
2003,1,5,3,0,64
2003,1,5,4,0,69
2003,1,5,5,-1,75
2003,1,5,6,-1,75
2003,1,5,7,-2,80
2003,1,5,8,-2,74
2003,1,5,9,-2,80
2003,1,5,10,-2,74
2003,1,5,11,-2,74
2003,1,5,12,-2,80
2003,1,5,13,-1,69
2003,1,5,14,-1,69
2003,1,5,15,-1,69
2003,1,5,16,-1,69
2003,1,5,17,-1,69
2003,1,5,18,-2,80
2003,1,5,19,-2,80
2003,1,5,20,-3,86
2003,1,5,21,-3,86
2003,1,5,22,-3,86
2003,1,5,23,-4,93
2003,1,5,24,-4,93
2003,1,6,1,-3,86
2003,1,6,2,-3,86
2003,1,6,3,-3,86
2003,1,6,4,-4,93
2003,1,6,5,-4,93
2003,1,6,6,-4,93
2003,1,6,7,-4,93
2003,1,6,8,-4,93
2003,1,6,9,-4,93
2003,1,6,10,-4,93
2003,1,6,11,-3,86
2003,1,6,12,-3,86
2003,1,6,13,-3,86
2003,1,6,14,-3,86
2003,1,6,15,-3,86
2003,1,6,16,-2,86
2003,1,6,17,-2,80
2003,1,6,18,-1,80
2003,1,6,19,0,75
2003,1,6,20,-1,80
2003,1,6,21,-1,75
2003,1,6,22,-2,80
2003,1,6,23,-2,80
2003,1,6,24,-2,80
2003,1,7,1,-2,80
2003,1,7,2,-2,80
2003,1,7,3,-2,80
2003,1,7,4,-2,80
2003,1,7,5,-3,86
2003,1,7,6,-3,80
2003,1,7,7,-3,80
2003,1,7,8,-4,86
2003,1,7,9,-4,86
2003,1,7,10,-4,86
2003,1,7,11,-4,86
2003,1,7,12,-4,80
2003,1,7,13,-3,80
2003,1,7,14,-3,80
2003,1,7,15,-2,74
2003,1,7,16,-1,69
2003,1,7,17,-1,75
2003,1,7,18,-2,80
2003,1,7,19,-3,86
2003,1,7,20,-2,80
2003,1,7,21,-3,80
2003,1,7,22,-4,86
2003,1,7,23,-5,93
2003,1,7,24,-5,86
2003,1,8,1,-6,93
2003,1,8,2,-6,86
2003,1,8,3,-6,86
2003,1,8,4,-7,93
2003,1,8,5,-7,93
2003,1,8,6,-7,93
2003,1,8,7,-7,93
2003,1,8,8,-6,93
2003,1,8,9,-6,93
2003,1,8,10,-6,93
2003,1,8,11,-5,86
2003,1,8,12,-5,86
2003,1,8,13,-4,86
2003,1,8,14,-4,86
2003,1,8,15,-4,86
2003,1,8,16,-3,80
2003,1,8,17,-3,86
2003,1,8,18,-3,86
2003,1,8,19,-3,93
2003,1,8,20,-3,93
2003,1,8,21,-3,93
2003,1,8,22,-4,100
2003,1,8,23,-4,100
2003,1,8,24,-4,100
2003,1,9,1,-4,100
2003,1,9,2,-4,93
2003,1,9,3,-3,93
2003,1,9,4,-3,93
2003,1,9,5,-3,93
2003,1,9,6,-3,93
2003,1,9,7,-3,93
2003,1,9,8,-3,93
2003,1,9,9,-3,93
2003,1,9,10,-3,93
2003,1,9,11,-3,93
2003,1,9,12,-3,93
2003,1,9,13,-2,86
2003,1,9,14,-2,86
2003,1,9,15,-2,86
2003,1,9,16,-2,86
2003,1,9,17,-2,86
2003,1,9,18,-2,86
2003,1,9,19,-3,86
2003,1,9,20,-3,80
2003,1,9,21,-4,86
2003,1,9,22,-4,80
2003,1,9,23,-5,80
2003,1,9,24,-5,80
2003,1,10,1,-5,80
2003,1,10,2,-6,86
2003,1,10,3,-6,86
2003,1,10,4,-6,86
2003,1,10,5,-6,86
2003,1,10,6,-6,80
2003,1,10,7,-6,80
2003,1,10,8,-7,86
2003,1,10,9,-7,86
2003,1,10,10,-7,86
2003,1,10,11,-7,86
2003,1,10,12,-7,86
2003,1,10,13,-6,74
2003,1,10,14,-7,80
2003,1,10,15,-7,80
2003,1,10,16,-7,80
2003,1,10,17,-7,80
2003,1,10,18,-6,74
2003,1,10,19,-6,80
2003,1,10,20,-6,74
2003,1,10,21,-6,80
2003,1,10,22,-6,80
2003,1,10,23,-6,80
2003,1,10,24,-6,74
2003,1,11,1,-6,74
2003,1,11,2,-6,74
2003,1,11,3,-6,74
2003,1,11,4,-6,74
2003,1,11,5,-6,74
2003,1,11,6,-6,74
2003,1,11,7,-6,74
2003,1,11,8,-6,80
2003,1,11,9,-6,80
2003,1,11,10,-6,80
2003,1,11,11,-6,86
2003,1,11,12,-6,86
2003,1,11,13,-5,80
2003,1,11,14,-5,80
2003,1,11,15,-4,80
2003,1,11,16,-4,74
